INDEX	ABBREVIATION	SMILES
AC_1	Cer(d16:1/18:0(2OH))	[C@](CO)([H])(NC(C(O)CCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_2	Cer(d16:1/18:0(3OH))	[C@](CO)([H])(NC(CC(O)CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_3	Cer(d16:1/18:0(4OH))	[C@](CO)([H])(NC(CCC(O)CCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_4	Cer(d16:1/18:0(5OH))	[C@](CO)([H])(NC(CCCC(O)CCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_5	Cer(d16:1/18:0(6OH))	[C@](CO)([H])(NC(CCCCC(O)CCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_6	Cer(d16:1/18:0(7OH))	[C@](CO)([H])(NC(CCCCCC(O)CCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_7	Cer(d16:1/18:0(8OH))	[C@](CO)([H])(NC(CCCCCCC(O)CCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_8	Cer(d16:1/18:0(9OH))	[C@](CO)([H])(NC(CCCCCCCC(O)CCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_9	Cer(d16:1/18:0(10OH))	[C@](CO)([H])(NC(CCCCCCCCC(O)CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_10	Cer(d16:1/18:0(11OH))	[C@](CO)([H])(NC(CCCCCCCCCC(O)CCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_11	Cer(d16:1/18:0(12OH))	[C@](CO)([H])(NC(CCCCCCCCCCC(O)CCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_12	Cer(d16:1/18:0(13OH))	[C@](CO)([H])(NC(CCCCCCCCCCCC(O)CCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_13	Cer(d16:1/18:0(14OH))	[C@](CO)([H])(NC(CCCCCCCCCCCCC(O)CCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_14	Cer(d16:1/18:0(15OH))	[C@](CO)([H])(NC(CCCCCCCCCCCCCC(O)CCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_15	Cer(d16:1/18:0(16OH))	[C@](CO)([H])(NC(CCCCCCCCCCCCCCC(O)CC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_16	Cer(d16:1/18:0(17OH))	[C@](CO)([H])(NC(CCCCCCCCCCCCCCCC(O)C)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
AC_17	Cer(d16:1/18:0(18OH))	[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCC(O))=O)[C@]([H])(O)/C=C/CCCCCCCCCCC
API_1	PI(10:0/10:0)	[C@]([H])(OC(CCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_2	PI(10:0/10:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_3	PI(10:0/11:0)	[C@]([H])(OC(CCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_4	PI(10:0/11:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_5	PI(10:0/12:0)	[C@]([H])(OC(CCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_6	PI(10:0/12:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_7	PI(10:0/13:0)	[C@]([H])(OC(CCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_8	PI(10:0/13:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_9	PI(10:0/14:0)	[C@]([H])(OC(CCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_10	PI(10:0/14:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_11	PI(10:0/15:0)	[C@]([H])(OC(CCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_12	PI(10:0/15:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_13	PI(10:0/16:0)	[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_14	PI(10:0/16:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_15	PI(10:0/17:0)	[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_16	PI(10:0/17:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_17	PI(10:0/18:0)	[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_18	PI(10:0/18:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_19	PI(10:0/19:0)	[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_20	PI(10:0/19:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_21	PI(10:0/20:0)	[C@]([H])(OC(CCCCCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
API_22	PI(10:0/20:1(7Z))	[C@]([H])(OC(CCCCC/C=C\CCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCC)=O
